Name,Campaign,County,Opened,Clicked,Applied,Age,Income,YearBuilt
None None,OHCAC_FinalDays_20250929,AthensCounty,1,0,0,,,
None None,OHCAC_FinalDays_20250929,AthensCounty,1,0,0,,,
None None,OHCAC_FinalDays_20250929,RichlandCounty,1,0,0,,17500.0,
None None,OHCAC_FinalDays_20250929,RichlandCounty,1,0,0,,25000.0,63
None None,OHCAC_FinalDays_20250929,RichlandCounty,1,1,0,,25000.0,45
None None,OHCAC_FinalDays_20250929,RichlandCounty,1,0,0,,45000.0,
None None,OHCAC_FinalDays_20250929,RichlandCounty,1,0,0,,25000.0,
None None,OHCAC_FinalDays_20250929,RichlandCounty,1,0,0,,45000.0,
None None,OHCAC_FinalDays_20250929,RichlandCounty,1,0,0,,25000.0,
None None,OHCAC_FinalDays_20250929,RichlandCounty,1,0,0,,35000.0,
None None,OHCAC_FinalDays_20250929,RichlandCounty,1,0,0,,7500.0,79
None None,OHCAC_FinalDays_20250929,RichlandCounty,1,0,0,,45000.0,
None None,OHCAC_FinalDays_20250929,RichlandCounty,1,0,0,,25000.0,
None None,OHCAC_FinalDays_20250929,RichlandCounty,1,0,0,,55000.0,57
None None,OHCAC_FinalDays_20250929,RichlandCounty,1,0,0,,25000.0,
None None,OHCAC_FinalDays_20250929,AthensCounty,1,0,0,,,
None None,OHCAC_FinalDays_20250929,AthensCounty,1,0,0,,,
None None,OHCAC_FinalDays_20250929,AthensCounty,1,0,0,,,
None None,OHCAC_FinalDays_20250929,AthensCounty,1,0,0,,,
None None,OHCAC_FinalDays_20250929,AthensCounty,1,0,0,,,
None None,OHCAC_FinalDays_20250929,RichlandCounty,1,0,0,,17500.0,
None None,OHCAC_FinalDays_20250929,AthensCounty,1,0,0,,,
None None,OHCAC_FinalDays_20250929,AthensCounty,1,0,0,,,
None None,OHCAC_FinalDays_20250929,AthensCounty,1,0,0,,,
None None,OHCAC_FinalDays_20250929,AthensCounty,1,0,0,,,
None None,OHCAC_FinalDays_20250929,RichlandCounty,1,0,0,,45000.0,
None None,OHCAC_FinalDays_20250929,AthensCounty,1,0,0,,,
None None,OHCAC_FinalDays_20250929,AthensCounty,1,0,0,,,
None None,OHCAC_FinalDays_20250929,AthensCounty,1,0,0,,,
None None,OHCAC_FinalDays_20250929,MorrowCounty,1,0,0,,55000.0,23
None None,OHCAC_FinalDays_20250929,AthensCounty,1,0,0,,,
None None,OHCAC_FinalDays_20250929,AthensCounty,1,0,0,,,
None None,OHCAC_FinalDays_20250929,AthensCounty,1,0,0,,,
None None,OHCAC_FinalDays_20250929,AthensCounty,1,0,0,,,
None None,OHCAC_FinalDays_20250929,AthensCounty,1,0,0,,,
None None,OHCAC_FinalDays_20250929,AthensCounty,1,0,0,,,
